name,shape,dtype,nodes,edges,divisions,nodes_per_t
44b6_0113de3b,"(100, 64, 256, 256)",uint16,52,50,0,1.0
44b6_0b24845f,"(100, 64, 256, 256)",uint16,51,49,0,1.3
44b6_0c582fdc,"(100, 64, 256, 256)",uint16,71,70,0,1.0
44b6_0db75fae,"(100, 64, 256, 256)",uint16,157,151,0,1.8
44b6_12dfb391,"(100, 64, 256, 256)",uint16,788,773,1,7.9
44b6_144b256d,"(100, 64, 256, 256)",uint16,121,119,0,1.2
44b6_1574802b,"(100, 64, 256, 256)",uint16,155,153,0,1.6
44b6_18ced818,"(100, 64, 256, 256)",uint16,100,99,0,1.0
44b6_1d530831,"(100, 64, 256, 256)",uint16,276,271,0,2.8
44b6_24264f12,"(100, 64, 256, 256)",uint16,230,221,0,2.6
44b6_267148e4,"(100, 64, 256, 256)",uint16,280,277,1,2.8
44b6_2a2eff9f,"(100, 64, 256, 256)",uint16,214,210,1,2.1
44b6_2f31fc2f,"(100, 64, 256, 256)",uint16,89,85,0,1.3
44b6_33b596bf,"(100, 64, 256, 256)",uint16,50,49,0,1.0
44b6_341df25f,"(100, 64, 256, 256)",uint16,216,209,1,2.2
44b6_3a861e03,"(100, 64, 256, 256)",uint16,935,919,0,9.3
44b6_3bb3690f,"(100, 64, 256, 256)",uint16,400,396,0,4.0
44b6_40c45f5a,"(100, 64, 256, 256)",uint16,200,198,0,2.0
44b6_415c0a3a,"(100, 64, 256, 256)",uint16,331,322,0,3.3
44b6_53f95252,"(100, 64, 256, 256)",uint16,70,68,0,1.4
44b6_551a5dba,"(100, 64, 256, 256)",uint16,228,224,0,2.3
44b6_5740d24b,"(100, 64, 256, 256)",uint16,173,170,0,1.7
44b6_587a1e22,"(100, 64, 256, 256)",uint16,381,371,1,4.0
44b6_5f15d135,"(100, 64, 256, 256)",uint16,278,273,1,2.8
44b6_668e0cc7,"(100, 64, 256, 256)",uint16,643,631,0,6.4
44b6_66f9292d,"(100, 64, 256, 256)",uint16,200,198,0,2.0
44b6_706092f0,"(100, 64, 256, 256)",uint16,118,117,1,1.2
44b6_71a4179f,"(100, 64, 256, 256)",uint16,121,119,0,1.2
44b6_74d0c52e,"(100, 64, 256, 256)",uint16,140,139,1,1.4
44b6_7a302da0,"(100, 64, 256, 256)",uint16,516,507,1,5.2
44b6_7e557709,"(100, 64, 256, 256)",uint16,570,560,0,5.7
44b6_808952d6,"(100, 64, 256, 256)",uint16,181,179,0,1.8
44b6_81c256f0,"(100, 64, 256, 256)",uint16,199,197,0,2.0
44b6_87bba6c4,"(100, 64, 256, 256)",uint16,153,149,0,1.9
44b6_8cc6506c,"(100, 64, 256, 256)",uint16,400,396,0,4.0
44b6_8f5ab931,"(100, 64, 256, 256)",uint16,616,604,0,6.2
44b6_8f9ecab4,"(100, 64, 256, 256)",uint16,374,370,0,3.7
44b6_90724892,"(100, 64, 256, 256)",uint16,105,103,0,1.8
44b6_949adeb1,"(100, 64, 256, 256)",uint16,388,378,0,5.1
44b6_95029e92,"(100, 64, 256, 256)",uint16,200,198,0,2.0
44b6_97725144,"(100, 64, 256, 256)",uint16,225,221,0,2.2
44b6_996155de,"(100, 64, 256, 256)",uint16,380,377,1,3.8
44b6_9be80b04,"(100, 64, 256, 256)",uint16,222,220,1,2.2
44b6_9bfa6a0a,"(100, 64, 256, 256)",uint16,264,259,0,2.6
44b6_a21120c2,"(100, 64, 256, 256)",uint16,296,286,2,3.5
44b6_a2bb48bb,"(100, 64, 256, 256)",uint16,416,410,0,4.2
44b6_aaf8b0ea,"(100, 64, 256, 256)",uint16,209,206,1,2.1
44b6_abf82518,"(100, 64, 256, 256)",uint16,96,94,0,1.7
44b6_b2c44266,"(100, 64, 256, 256)",uint16,170,168,0,1.7
44b6_c15fded2,"(100, 64, 256, 256)",uint16,104,102,0,1.9
44b6_c50204e0,"(100, 64, 256, 256)",uint16,333,325,2,3.3
44b6_c771cb04,"(100, 64, 256, 256)",uint16,227,223,0,2.3
44b6_c8e2a523,"(100, 64, 256, 256)",uint16,168,164,1,2.1
44b6_c96cfa10,"(100, 64, 256, 256)",uint16,629,616,0,6.3
44b6_cf2536e8,"(100, 64, 256, 256)",uint16,76,75,0,1.0
44b6_cf8fed6b,"(100, 64, 256, 256)",uint16,191,188,0,2.0
44b6_d29c9ab2,"(100, 64, 256, 256)",uint16,1353,1328,0,13.5
44b6_d2f34f90,"(100, 64, 256, 256)",uint16,283,281,2,2.8
44b6_d5e7d891,"(100, 64, 256, 256)",uint16,906,893,2,9.1
44b6_d754aa59,"(100, 64, 256, 256)",uint16,72,70,1,1.1
44b6_d78e09d9,"(100, 64, 256, 256)",uint16,463,451,0,4.6
44b6_db3c847b,"(100, 64, 256, 256)",uint16,165,162,0,1.9
44b6_ddf577ad,"(100, 64, 256, 256)",uint16,659,647,0,6.6
44b6_deabac95,"(100, 64, 256, 256)",uint16,126,124,1,1.5
44b6_e28840c6,"(100, 64, 256, 256)",uint16,311,309,2,3.1
44b6_e29f0176,"(100, 64, 256, 256)",uint16,51,50,0,1.0
44b6_e31261b4,"(100, 64, 256, 256)",uint16,116,113,0,1.4
44b6_e35b117d,"(100, 64, 256, 256)",uint16,270,266,0,2.7
44b6_e57ff5c6,"(100, 64, 256, 256)",uint16,193,186,0,1.9
44b6_eb2880fc,"(100, 64, 256, 256)",uint16,390,379,1,3.9
44b6_f28707c6,"(100, 64, 256, 256)",uint16,63,61,0,1.0
6bba_05b6850b,"(100, 64, 256, 256)",uint16,861,845,0,8.6
6bba_05db0fb1,"(100, 64, 256, 256)",uint16,1229,1183,3,12.3
6bba_062c8d37,"(100, 64, 256, 256)",uint16,930,898,1,9.4
6bba_07477033,"(100, 64, 256, 256)",uint16,613,602,0,6.1
6bba_07e24132,"(100, 64, 256, 256)",uint16,359,345,2,3.6
6bba_085bf656,"(100, 64, 256, 256)",uint16,1198,1168,1,12.0
6bba_09961292,"(100, 64, 256, 256)",uint16,1950,1871,4,19.5
6bba_0c7fa718,"(100, 64, 256, 256)",uint16,704,659,0,7.5
6bba_0e7c0d07,"(100, 64, 256, 256)",uint16,209,198,1,2.5
6bba_12665c0e,"(100, 64, 256, 256)",uint16,1036,998,3,10.4
6bba_13f19531,"(100, 64, 256, 256)",uint16,737,704,0,7.4
6bba_15403b9a,"(100, 64, 256, 256)",uint16,758,729,0,7.6
6bba_1d0d8384,"(100, 64, 256, 256)",uint16,1438,1365,1,14.4
6bba_1ebfb80d,"(100, 64, 256, 256)",uint16,745,719,0,7.5
6bba_1f58c2f6,"(100, 64, 256, 256)",uint16,317,299,0,3.2
6bba_207c6aaf,"(100, 64, 256, 256)",uint16,475,450,1,4.8
6bba_20852818,"(100, 64, 256, 256)",uint16,952,909,3,9.5
6bba_2312ac41,"(100, 64, 256, 256)",uint16,1156,1132,2,11.6
6bba_23af9eeb,"(100, 64, 256, 256)",uint16,513,499,0,5.1
6bba_2540cd90,"(100, 64, 256, 256)",uint16,529,523,0,5.3
6bba_2646afc7,"(100, 64, 256, 256)",uint16,738,721,0,7.4
6bba_268e1230,"(100, 64, 256, 256)",uint16,641,609,1,6.4
